id;lastname;firstname;shirt_number;position;date_of_birth;team_id
16793;Barkley;Ross;19;Midfield;05.12.1993;431
16796;Coleman;Séamus;2;Defender;11.10.1988;421
16798;Fellaini;Marouane;8;Midfield;22.11.1987;430
16799;Stones;John;16;Defender;28.05.1994;431
16807;Duffy;Shane;12;Defender;01.01.1992;421
16824;McGinn;Niall;7;Midfield;20.07.1987;423
16833;Magennis;Josh;21;Forward;15.05.1990;423
16916;de Gea;David;13;Goalkeeper;07.11.1990;414
16918;Evra;Patrice;3;Defender;15.05.1981;406
16921;Evans;Jonny;5;Defender;03.01.1988;423
16924;Rooney;Wayne;10;Forward;24.10.1985;431
16926;Smalling;Chris;6;Defender;22.11.1989;431
16931;Nani;;17;Forward;17.11.1986;424
16976;Čech;Petr;1;Goalkeeper;20.05.1982;387
16988;Schürrle;André;9;Midfield;06.11.1990;419
16989;Hazard;Eden;10;Forward;07.01.1991;430
16990;Cahill;Gary;5;Defender;19.12.1985;431
16992;Azpilicueta;César;2;Defender;28.08.1989;414
16994;Bertrand;Ryan;21;Defender;05.08.1989;431
16995;De Bruyne;Kevin;7;Forward;28.06.1991;430
16998;Lukaku;Romelu;9;Forward;13.05.1993;430
17013;Henderson;Jordan;14;Midfield;17.06.1990;431
17014;Sturridge;Daniel;15;Forward;01.09.1989;431
17018;Mignolet;Simon;12;Goalkeeper;06.03.1988;430
17019;Allen;Joe;7;Midfield;14.03.1990;390
17021;Sterling;Raheem;7;Midfield;08.12.1994;431
17024;Škrtel;Martin;3;Defender;15.12.1984;404
17034;Ward;Danny;21;Goalkeeper;22.06.1993;390
17059;Westwood;Keiren;1;Goalkeeper;23.10.1984;421
17064;O'Shea;John;4;Defender;30.04.1981;421
17071;Giaccherini;Emanuele;23;Midfield;05.05.1985;417
17073;Larsson;Sebastian;7;Midfield;06.06.1985;422
17074;McClean;James;11;Midfield;22.04.1989;421
17077;Vaughan;David;22;Midfield;18.02.1983;390
17090;Long;Shane;9;Forward;22.01.1987;421
17098;McAuley;Gareth;4;Defender;05.12.1979;423
17114;Whelan;Glenn;6;Midfield;13.01.1984;421
17125;Walters;Jonathan;14;Forward;20.09.1983;421
17141;Clark;Ciaran;3;Defender;26.09.1989;421
17154;Benteke;Christian;20;Forward;03.12.1990;430
17160;Given;Shay;16;Goalkeeper;20.04.1976;421
17170;Hart;Joe;1;Goalkeeper;19.04.1987;431
17175;Milner;James;4;Midfield;04.01.1986;431
17186;Silva;David;21;Midfield;08.01.1986;414
17190;Pantilimon;Costel;1;Goalkeeper;01.02.1987;395
17194;Guidetti;John;20;Forward;15.04.1992;422
17196;Mannus;Alan;23;Goalkeeper;19.05.1982;423
17222;Clyne;Nathaniel;12;Defender;05.04.1991;431
17224;Schneiderlin;Morgan;12;Midfield;08.11.1989;406
17226;Fonte;José;4;Defender;22.12.1983;424
17228;Davis;Steven;8;Midfield;01.01.1985;423
17235;Lallana;Adam;8;Midfield;10.05.1988;431
17241;Boruc;Artur;12;Goalkeeper;20.02.1980;427
17272;Taylor;Neil;3;Defender;07.02.1989;390
17274;Williams;Ashley;6;Defender;23.08.1984;390
17295;Richards;Jazz;15;Defender;12.04.1991;390
17296;Davies;Ben;4;Defender;24.04.1993;390
17325;Forster;Fraser;13;Goalkeeper;17.03.1988;431
17335;Ledley;Joe;16;Midfield;23.01.1987;390
17341;Lustig;Mikael;2;Defender;13.12.1986;422
17360;McCarthy;James;8;Midfield;12.11.1990;421
17387;Rose;Danny;3;Defender;02.07.1990;431
17389;Vertonghen;Jan;5;Defender;24.04.1987;430
17394;Bale;Gareth;11;Forward;16.07.1989;390
17397;Dembélé;Moussa;19;Midfield;16.07.1987;430
17399;Sigurðsson;Gylfi;10;Midfield;08.09.1989;412
17402;Lloris;Hugo;1;Goalkeeper;26.12.1986;406
17403;Walker;Kyle;2;Defender;28.05.1990;431
17424;Hughes;Aaron;18;Defender;08.11.1979;423
17438;Cabaye;Yohan;6;Midfield;14.01.1986;406
17440;Sissoko;Moussa;18;Midfield;16.08.1989;406
17466;Szczęsny;Wojciech;1;Goalkeeper;18.04.1990;427
17467;Sagna;Bacary;19;Defender;14.02.1983;406
17469;Vermaelen;Thomas;3;Defender;14.11.1985;430
17470;Koscielny;Laurent;21;Defender;10.09.1985;406
