id;name;countrycode;flag_url;region
385;Russia;RUS;russia.png;Europe
386;Luxembourg;LUX;luxembourg.png;Europe
387;Czech Republic;CZH;czech-republic.png;Europe
388;Armenia;ARM;armenia.png;Asia
389;FYR Macedonia;MKD;macedonia.png;Europe
390;Wales;WAL;wales.png;Europe
391;Norway;NOR;norway.png;Europe
392;Cyprus;CYP;cyprus.png;Europe
393;Malta;MLT;malta.png;Europe
394;Denmark;DEN;denmark.png;Europe
395;Romania;ROU;romania.png;Europe
396;Hungary;HUN;hungary.png;Europe
397;Turkey;TUR;turkey.png;Europe
398;Andorra;AND;andorra.png;Europe
399;Ukraine;UKR;ukraine.png;Europe
400;San Marino;SMR;san-marino.png;Europe
401;Latvia;LVA;latvia.png;Europe
402;Lithuania;LTU;lithuania.png;Europe
403;Bosnia and Herzegovina;BIH;bosnia-and-herzegovina.png;Europe
404;Slovakia;SVK;slovakia.png;Europe
405;Georgia;GEO;georgia.png;Europe
406;France;FRA;france.png;Europe
407;Estonia;EST;estonia.png;Europe
408;Netherlands;NED;netherlands.png;Europe
409;Slovenia;SVN;slovenia.png;Europe
410;Albania;ALB;albania.png;Europe
411;Switzerland;SUI;switzerland.png;Europe
412;Iceland;ISL;iceland.png;Europe
413;Finland;FIN;finland.png;Europe
414;Spain;ESP;spain.png;Europe
415;Serbia;SRB;serbia.png;Europe
416;Croatia;CRO;croatia.png;Europe
417;Italy;ITA;italy.png;Europe
418;Bulgaria;BUL;bulgaria.png;Europe
419;Germany;GER;germany.png;Europe
420;Austria;AUT;austria.png;Europe
421;Republic of Ireland;ROI;ireland.png;Europe
422;Sweden;SWE;sweden.png;Europe
423;Northern Ireland;NIR;north-ireland.png;Europe
424;Portugal;POR;portugal.png;Europe
425;Liechtenstein;LIE;liechtenstein.png;Europe
426;Greece;GRE;greece.png;Europe
427;Poland;POL;poland.png;Europe
428;Montenegro;MNE;montenegro.png;Europe
429;Scotland;SCO;scotland.png;Europe
430;Belgium;BEL;belgium.png;Europe
431;England;ENG;england.png;Europe
432;Moldova;MDA;moldova.png;Europe
433;Israel;ISR;israel.png;Asia
434;Azerbaijan;AZE;azerbaijan.png;Asia
435;Kazakhstan;KAZ;kazakhstan.png;Asia
436;Faroe Islands ;FRO;faroe-islands.png;Europe
437;Belarus;BLR;belarus.png;Europe
523;Chile;CHI;chile.png;America
524;United States;USA;usa.png;America
624;South Africa;RSA;south-africa.png;Africa
625;Brazil;BRA;brazil.png;America
637;Mexico;MEX;mexico.png;America
638;Ecuador;ECU;ecuador.png;America
669;Cameroon;CMR;cameroon.png;Africa
670;Australia;AUS;australia.png;Oceania
671;Colombia;COL;colombia.png;America
672;Ivory Coast;CIV;ivory-coast.png;Africa
673;Japan;JPN;japan.png;Asia
674;Uruguay;URU;uruguay.png;America
675;Costa Rica;CRC;costa-rica.png;America
676;Honduras;HON;honduras.png;America
677;Argentina;ARG;argentina.png;America
679;Iran;IRN;iran.png;Asia
680;Nigeria;NGA;nigeria.png;Africa
681;Ghana;GHA;ghana.png;Africa
682;Algeria;ALG;algeria.png;Africa
683;Korea Republic;KOR;south-korea.png;Asia
708;Peru;PER;peru.png;America
709;Bolivia;BOL;bolivia.png;America
710;Paraguay;PAR;paraguay.png;America
711;Panama;PAN;panama.png;America
712;Tunisia;TUN;tunisia.png;Africa
713;El Salvador;SLV;el-salvador.png;America
714;Jamaica;JAM;jamaica.png;America
751;Angola;ANG;angola.png;Africa
752;Egypt;EGY;egypt.png;Africa
753;Senegal;SEN;senegal.png;Africa
754;Mali;MLI;mali.png;Africa
1061;Gibraltar;GIB;;Europe
